AGEP,SCHL,MAR,SEX,DIS,ESP,CIT,MIG,MIL,ANC,NATIVITY,DEAR,DEYE,DREM,PINCP,ESR,ST,FER,RAC1P,target
17.0,14.0,5.0,1.0,2.0,5.0,1.0,1.0,4.0,1.0,1.0,2.0,2.0,2.0,2500.0,6.0,6.0,0.0,1.0,0
59.0,15.0,2.0,2.0,1.0,0.0,1.0,1.0,4.0,2.0,1.0,2.0,2.0,1.0,18000.0,6.0,6.0,0.0,1.0,1
15.0,10.0,5.0,2.0,2.0,7.0,1.0,1.0,0.0,1.0,1.0,2.0,2.0,2.0,0.0,0.0,6.0,2.0,1.0,1
25.0,18.0,5.0,2.0,1.0,0.0,1.0,1.0,4.0,1.0,1.0,2.0,2.0,2.0,7000.0,6.0,6.0,1.0,1.0,1
24.0,19.0,5.0,1.0,1.0,0.0,1.0,3.0,4.0,3.0,1.0,2.0,2.0,1.0,1200.0,6.0,6.0,0.0,1.0,1
20.0,19.0,5.0,2.0,1.0,0.0,1.0,3.0,4.0,4.0,1.0,2.0,2.0,1.0,8000.0,1.0,6.0,2.0,1.0,0
28.0,19.0,5.0,2.0,2.0,0.0,1.0,1.0,4.0,2.0,1.0,2.0,2.0,2.0,0.0,3.0,6.0,1.0,1.0,1
39.0,18.0,1.0,2.0,1.0,0.0,1.0,1.0,4.0,1.0,1.0,2.0,2.0,1.0,0.0,6.0,6.0,2.0,1.0,0
39.0,16.0,1.0,1.0,2.0,0.0,1.0,3.0,4.0,1.0,1.0,2.0,2.0,2.0,21200.0,6.0,6.0,0.0,1.0,0
60.0,22.0,1.0,2.0,2.0,0.0,1.0,1.0,4.0,1.0,1.0,2.0,2.0,2.0,20000.0,1.0,6.0,0.0,1.0,0
43.0,16.0,5.0,1.0,2.0,0.0,1.0,1.0,4.0,1.0,1.0,2.0,2.0,2.0,0.0,3.0,6.0,0.0,1.0,0
56.0,7.0,5.0,1.0,2.0,0.0,5.0,1.0,4.0,1.0,2.0,2.0,2.0,2.0,2000.0,1.0,6.0,0.0,1.0,1
31.0,14.0,5.0,1.0,2.0,0.0,5.0,1.0,4.0,1.0,2.0,2.0,2.0,2.0,0.0,6.0,6.0,0.0,1.0,0
52.0,16.0,1.0,2.0,1.0,0.0,4.0,1.0,4.0,4.0,2.0,1.0,2.0,2.0,24800.0,1.0,6.0,0.0,1.0,0
27.0,9.0,5.0,1.0,2.0,0.0,5.0,3.0,4.0,1.0,2.0,2.0,2.0,2.0,12000.0,1.0,6.0,0.0,1.0,0
21.0,14.0,5.0,1.0,2.0,0.0,1.0,3.0,4.0,1.0,1.0,2.0,2.0,2.0,0.0,6.0,6.0,0.0,2.0,0
28.0,22.0,5.0,2.0,2.0,0.0,1.0,3.0,4.0,2.0,1.0,2.0,2.0,2.0,16800.0,6.0,6.0,2.0,1.0,0
50.0,9.0,1.0,1.0,2.0,0.0,5.0,1.0,4.0,1.0,2.0,2.0,2.0,2.0,30000.0,1.0,6.0,0.0,1.0,0
18.0,16.0,5.0,2.0,2.0,0.0,1.0,3.0,4.0,2.0,1.0,2.0,2.0,2.0,0.0,6.0,6.0,2.0,1.0,0
58.0,22.0,1.0,2.0,2.0,0.0,4.0,1.0,4.0,1.0,2.0,2.0,2.0,2.0,0.0,6.0,6.0,0.0,1.0,0
61.0,5.0,3.0,1.0,2.0,0.0,5.0,1.0,4.0,1.0,2.0,2.0,2.0,2.0,14000.0,1.0,6.0,0.0,1.0,0
64.0,18.0,1.0,2.0,2.0,0.0,1.0,1.0,4.0,1.0,1.0,2.0,2.0,2.0,18000.0,6.0,6.0,0.0,1.0,0
38.0,14.0,5.0,1.0,2.0,0.0,5.0,1.0,4.0,1.0,2.0,2.0,2.0,2.0,6300.0,1.0,6.0,0.0,1.0,0
64.0,21.0,1.0,1.0,2.0,0.0,1.0,1.0,4.0,3.0,1.0,2.0,2.0,2.0,0.0,6.0,6.0,0.0,1.0,0
42.0,12.0,1.0,2.0,2.0,0.0,4.0,1.0,4.0,1.0,2.0,2.0,2.0,2.0,17000.0,1.0,6.0,2.0,1.0,1
17.0,14.0,5.0,2.0,2.0,1.0,1.0,1.0,4.0,1.0,1.0,2.0,2.0,2.0,0.0,6.0,6.0,2.0,1.0,0
24.0,19.0,5.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,0.0,6.0,6.0,0.0,1.0,1
38.0,15.0,1.0,2.0,2.0,0.0,5.0,1.0,4.0,1.0,2.0,2.0,2.0,2.0,0.0,6.0,6.0,2.0,1.0,0
22.0,21.0,5.0,2.0,2.0,0.0,1.0,1.0,4.0,2.0,1.0,2.0,2.0,2.0,3200.0,1.0,6.0,2.0,1.0,0
61.0,20.0,3.0,2.0,1.0,0.0,1.0,1.0,4.0,1.0,1.0,2.0,2.0,2.0,10500.0,6.0,6.0,0.0,1.0,1
49.0,19.0,3.0,2.0,2.0,0.0,1.0,1.0,4.0,2.0,1.0,2.0,2.0,2.0,20000.0,1.0,6.0,2.0,1.0,0
46.0,16.0,5.0,2.0,2.0,0.0,1.0,1.0,4.0,1.0,1.0,2.0,2.0,2.0,24000.0,6.0,6.0,2.0,2.0,1
60.0,16.0,1.0,2.0,2.0,0.0,1.0,1.0,4.0,1.0,1.0,2.0,2.0,2.0,0.0,6.0,6.0,0.0,1.0,1
31.0,19.0,5.0,2.0,2.0,0.0,1.0,1.0,4.0,4.0,1.0,2.0,2.0,2.0,19000.0,1.0,6.0,2.0,1.0,0
55.0,16.0,3.0,2.0,2.0,0.0,1.0,1.0,4.0,4.0,1.0,2.0,2.0,2.0,18000.0,1.0,6.0,0.0,1.0,0
59.0,13.0,1.0,2.0,1.0,0.0,1.0,1.0,4.0,1.0,1.0,2.0,1.0,1.0,0.0,6.0,6.0,0.0,1.0,0
52.0,16.0,1.0,2.0,2.0,0.0,4.0,3.0,4.0,1.0,2.0,2.0,2.0,2.0,0.0,6.0,6.0,0.0,1.0,0
31.0,16.0,5.0,2.0,2.0,0.0,1.0,1.0,4.0,1.0,1.0,2.0,2.0,2.0,12000.0,6.0,6.0,2.0,1.0,1
42.0,21.0,1.0,2.0,2.0,0.0,1.0,1.0,4.0,4.0,1.0,2.0,2.0,2.0,0.0,6.0,6.0,1.0,1.0,0
41.0,21.0,1.0,2.0,2.0,0.0,1.0,1.0,4.0,1.0,1.0,2.0,2.0,2.0,0.0,6.0,6.0,2.0,1.0,0
60.0,16.0,1.0,2.0,2.0,0.0,1.0,1.0,4.0,2.0,1.0,2.0,2.0,2.0,0.0,6.0,6.0,0.0,1.0,0
32.0,3.0,1.0,2.0,2.0,0.0,1.0,1.0,2.0,4.0,1.0,2.0,2.0,2.0,0.0,6.0,6.0,2.0,1.0,0
24.0,19.0,5.0,1.0,1.0,0.0,1.0,1.0,4.0,1.0,1.0,2.0,2.0,1.0,16800.0,1.0,6.0,0.0,1.0,1
34.0,14.0,5.0,1.0,2.0,0.0,1.0,1.0,4.0,1.0,1.0,2.0,2.0,2.0,0.0,6.0,6.0,0.0,2.0,1
15.0,12.0,5.0,1.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,2.0,2.0,0.0,0.0,6.0,0.0,1.0,1
22.0,16.0,5.0,2.0,2.0,0.0,5.0,1.0,4.0,1.0,2.0,2.0,2.0,2.0,4000.0,6.0,6.0,2.0,1.0,1
45.0,21.0,5.0,2.0,2.0,0.0,5.0,2.0,4.0,4.0,2.0,2.0,2.0,2.0,18000.0,1.0,6.0,2.0,1.0,0
17.0,14.0,5.0,2.0,2.0,7.0,1.0,1.0,4.0,1.0,1.0,2.0,2.0,2.0,0.0,6.0,6.0,2.0,1.0,1
41.0,20.0,1.0,2.0,2.0,0.0,1.0,1.0,4.0,1.0,1.0,2.0,2.0,2.0,0.0,6.0,6.0,2.0,1.0,0
42.0,19.0,4.0,2.0,2.0,0.0,3.0,1.0,4.0,2.0,1.0,2.0,2.0,2.0,29600.0,1.0,6.0,2.0,1.0,0
32.0,9.0,1.0,1.0,2.0,0.0,4.0,1.0,4.0,4.0,2.0,2.0,2.0,2.0,0.0,6.0,6.0,0.0,1.0,1
46.0,9.0,1.0,2.0,2.0,0.0,4.0,1.0,4.0,1.0,2.0,2.0,2.0,2.0,0.0,6.0,6.0,2.0,1.0,0
15.0,14.0,5.0,2.0,2.0,7.0,1.0,1.0,0.0,4.0,1.0,2.0,2.0,2.0,0.0,0.0,6.0,2.0,2.0,1
19.0,19.0,5.0,1.0,2.0,0.0,1.0,3.0,4.0,1.0,1.0,2.0,2.0,2.0,5000.0,1.0,6.0,0.0,1.0,0
47.0,9.0,1.0,2.0,2.0,0.0,4.0,2.0,4.0,1.0,2.0,2.0,2.0,2.0,20000.0,1.0,6.0,2.0,1.0,1
26.0,19.0,5.0,1.0,2.0,0.0,1.0,1.0,4.0,2.0,1.0,2.0,2.0,2.0,22900.0,3.0,6.0,0.0,1.0,1
23.0,21.0,5.0,1.0,2.0,0.0,1.0,1.0,4.0,2.0,1.0,2.0,2.0,2.0,6000.0,1.0,6.0,0.0,1.0,0
15.0,12.0,5.0,1.0,2.0,1.0,1.0,1.0,0.0,4.0,1.0,2.0,2.0,2.0,0.0,0.0,6.0,0.0,1.0,1
54.0,21.0,1.0,1.0,2.0,0.0,1.0,1.0,4.0,2.0,1.0,2.0,2.0,2.0,5600.0,1.0,6.0,0.0,1.0,0
34.0,21.0,1.0,2.0,2.0,0.0,1.0,3.0,4.0,1.0,1.0,2.0,2.0,2.0,2400.0,6.0,6.0,2.0,1.0,0
61.0,21.0,1.0,2.0,2.0,0.0,1.0,1.0,4.0,2.0,1.0,2.0,2.0,2.0,20000.0,6.0,6.0,0.0,1.0,0
19.0,16.0,5.0,1.0,2.0,0.0,1.0,1.0,4.0,1.0,1.0,2.0,2.0,2.0,5000.0,1.0,6.0,0.0,1.0,0
51.0,21.0,1.0,2.0,2.0,0.0,1.0,1.0,4.0,3.0,1.0,2.0,2.0,2.0,500.0,6.0,6.0,0.0,1.0,0
22.0,16.0,5.0,1.0,2.0,0.0,1.0,1.0,4.0,1.0,1.0,2.0,2.0,2.0,1300.0,1.0,6.0,0.0,1.0,0
35.0,9.0,1.0,2.0,2.0,0.0,5.0,1.0,4.0,1.0,2.0,2.0,2.0,2.0,0.0,6.0,6.0,2.0,1.0,0
17.0,16.0,5.0,2.0,2.0,7.0,1.0,3.0,4.0,2.0,1.0,2.0,2.0,2.0,10900.0,1.0,6.0,2.0,1.0,0
39.0,15.0,1.0,1.0,2.0,0.0,1.0,1.0,4.0,4.0,1.0,2.0,2.0,2.0,22000.0,1.0,6.0,0.0,1.0,1
35.0,22.0,1.0,1.0,2.0,0.0,1.0,1.0,4.0,1.0,1.0,2.0,2.0,2.0,22800.0,1.0,6.0,0.0,1.0,0
48.0,13.0,5.0,1.0,1.0,0.0,1.0,1.0,4.0,1.0,1.0,2.0,1.0,1.0,4000.0,6.0,6.0,0.0,2.0,1
37.0,19.0,3.0,1.0,2.0,0.0,5.0,1.0,4.0,1.0,2.0,2.0,2.0,2.0,24000.0,1.0,6.0,0.0,1.0,0
21.0,19.0,5.0,2.0,2.0,0.0,1.0,1.0,4.0,1.0,1.0,2.0,2.0,2.0,10000.0,1.0,6.0,2.0,1.0,0
51.0,16.0,1.0,1.0,2.0,0.0,4.0,1.0,4.0,1.0,2.0,2.0,2.0,2.0,14000.0,1.0,6.0,0.0,1.0,0
44.0,16.0,1.0,2.0,2.0,0.0,1.0,1.0,4.0,4.0,1.0,2.0,2.0,2.0,30000.0,1.0,6.0,2.0,1.0,0
22.0,21.0,5.0,1.0,2.0,0.0,1.0,3.0,4.0,2.0,1.0,2.0,2.0,2.0,3000.0,3.0,6.0,0.0,1.0,0
26.0,18.0,1.0,2.0,2.0,0.0,1.0,1.0,4.0,1.0,1.0,2.0,2.0,2.0,22000.0,1.0,6.0,2.0,2.0,0
56.0,16.0,1.0,1.0,2.0,0.0,1.0,1.0,4.0,2.0,1.0,2.0,2.0,2.0,0.0,6.0,6.0,0.0,1.0,0
57.0,21.0,3.0,2.0,2.0,0.0,1.0,1.0,4.0,1.0,1.0,2.0,2.0,2.0,18000.0,1.0,6.0,0.0,1.0,0
32.0,1.0,1.0,2.0,2.0,0.0,1.0,1.0,4.0,2.0,1.0,2.0,2.0,2.0,0.0,6.0,6.0,2.0,1.0,1
47.0,1.0,5.0,2.0,2.0,0.0,4.0,1.0,4.0,4.0,2.0,2.0,2.0,2.0,24400.0,1.0,6.0,2.0,1.0,0
15.0,13.0,5.0,2.0,2.0,1.0,1.0,1.0,0.0,2.0,1.0,2.0,2.0,2.0,0.0,0.0,6.0,2.0,1.0,0
19.0,19.0,5.0,2.0,2.0,0.0,1.0,3.0,4.0,1.0,1.0,2.0,2.0,2.0,4600.0,1.0,6.0,2.0,1.0,0
34.0,18.0,3.0,2.0,2.0,0.0,1.0,1.0,4.0,4.0,1.0,2.0,2.0,2.0,20000.0,1.0,6.0,2.0,1.0,0
28.0,16.0,1.0,2.0,2.0,0.0,1.0,1.0,4.0,4.0,1.0,2.0,2.0,2.0,0.0,6.0,6.0,2.0,1.0,1
37.0,19.0,4.0,1.0,2.0,0.0,5.0,1.0,4.0,1.0,2.0,2.0,2.0,2.0,25000.0,1.0,6.0,0.0,1.0,0
25.0,9.0,5.0,2.0,2.0,0.0,5.0,1.0,4.0,1.0,2.0,2.0,2.0,2.0,14000.0,1.0,6.0,2.0,1.0,0
18.0,18.0,5.0,1.0,2.0,0.0,1.0,3.0,4.0,2.0,1.0,2.0,2.0,2.0,0.0,6.0,6.0,0.0,1.0,0
19.0,16.0,5.0,2.0,2.0,0.0,1.0,1.0,4.0,1.0,1.0,2.0,2.0,2.0,3700.0,1.0,6.0,2.0,1.0,0
16.0,14.0,5.0,2.0,2.0,0.0,5.0,1.0,0.0,1.0,2.0,2.0,2.0,2.0,0.0,6.0,6.0,2.0,1.0,0
60.0,22.0,1.0,2.0,2.0,0.0,1.0,1.0,4.0,2.0,1.0,2.0,2.0,2.0,13600.0,1.0,6.0,0.0,1.0,0
38.0,18.0,1.0,2.0,1.0,0.0,1.0,1.0,4.0,3.0,1.0,2.0,2.0,1.0,0.0,3.0,6.0,2.0,1.0,0
62.0,21.0,1.0,2.0,2.0,0.0,1.0,1.0,4.0,1.0,1.0,2.0,2.0,2.0,0.0,6.0,6.0,0.0,1.0,0
18.0,14.0,5.0,1.0,2.0,0.0,1.0,3.0,4.0,1.0,1.0,2.0,2.0,2.0,0.0,6.0,6.0,0.0,1.0,0
58.0,19.0,5.0,1.0,1.0,0.0,1.0,1.0,4.0,1.0,1.0,2.0,2.0,1.0,1300.0,6.0,6.0,0.0,2.0,1
60.0,20.0,1.0,2.0,2.0,0.0,1.0,1.0,4.0,1.0,1.0,2.0,2.0,2.0,0.0,6.0,6.0,0.0,1.0,0
52.0,9.0,5.0,2.0,2.0,0.0,5.0,1.0,4.0,1.0,2.0,2.0,2.0,2.0,25000.0,1.0,6.0,0.0,1.0,0
54.0,19.0,1.0,2.0,2.0,0.0,4.0,1.0,4.0,1.0,2.0,2.0,2.0,2.0,0.0,6.0,6.0,0.0,1.0,1
15.0,12.0,5.0,1.0,2.0,0.0,1.0,3.0,0.0,1.0,1.0,2.0,2.0,2.0,1900.0,0.0,6.0,0.0,2.0,1
35.0,21.0,1.0,2.0,2.0,0.0,1.0,1.0,4.0,2.0,1.0,2.0,2.0,2.0,4300.0,2.0,6.0,1.0,1.0,1
53.0,1.0,1.0,1.0,2.0,0.0,5.0,1.0,4.0,1.0,2.0,2.0,2.0,2.0,8800.0,1.0,6.0,0.0,1.0,1
18.0,16.0,5.0,2.0,2.0,0.0,1.0,3.0,4.0,2.0,1.0,2.0,2.0,2.0,0.0,6.0,6.0,2.0,1.0,0
53.0,16.0,1.0,2.0,2.0,0.0,1.0,1.0,4.0,1.0,1.0,2.0,2.0,2.0,25000.0,6.0,6.0,0.0,1.0,0
58.0,19.0,1.0,2.0,2.0,0.0,4.0,1.0,4.0,1.0,2.0,2.0,2.0,2.0,5200.0,1.0,6.0,0.0,1.0,0
25.0,16.0,5.0,2.0,2.0,0.0,1.0,1.0,4.0,1.0,1.0,2.0,2.0,2.0,30000.0,1.0,6.0,2.0,1.0,0
52.0,16.0,5.0,2.0,2.0,0.0,1.0,3.0,4.0,1.0,1.0,2.0,2.0,2.0,0.0,6.0,6.0,0.0,2.0,1
46.0,16.0,3.0,2.0,1.0,0.0,4.0,1.0,4.0,1.0,2.0,1.0,1.0,1.0,24900.0,6.0,6.0,2.0,1.0,1
59.0,16.0,1.0,2.0,2.0,0.0,1.0,1.0,4.0,2.0,1.0,2.0,2.0,2.0,5300.0,6.0,6.0,0.0,1.0,0
54.0,21.0,1.0,1.0,2.0,0.0,4.0,1.0,4.0,1.0,2.0,2.0,2.0,2.0,12000.0,1.0,6.0,0.0,1.0,1
31.0,22.0,5.0,2.0,2.0,0.0,1.0,1.0,4.0,4.0,1.0,2.0,2.0,2.0,28000.0,1.0,6.0,2.0,1.0,0
43.0,9.0,1.0,2.0,2.0,0.0,1.0,1.0,4.0,1.0,1.0,2.0,2.0,2.0,0.0,6.0,6.0,2.0,1.0,1
36.0,20.0,5.0,2.0,2.0,0.0,1.0,1.0,4.0,1.0,1.0,2.0,2.0,2.0,23000.0,1.0,6.0,2.0,1.0,1
39.0,9.0,5.0,1.0,2.0,0.0,5.0,1.0,4.0,1.0,2.0,2.0,2.0,2.0,15300.0,1.0,6.0,0.0,1.0,1
21.0,19.0,5.0,1.0,2.0,0.0,1.0,3.0,4.0,1.0,1.0,2.0,2.0,2.0,0.0,6.0,6.0,0.0,1.0,0
36.0,16.0,5.0,2.0,2.0,0.0,1.0,1.0,4.0,2.0,1.0,2.0,2.0,2.0,21100.0,1.0,6.0,2.0,1.0,0
17.0,16.0,5.0,2.0,2.0,1.0,1.0,1.0,4.0,1.0,1.0,2.0,2.0,2.0,0.0,3.0,6.0,2.0,1.0,0
37.0,22.0,1.0,2.0,2.0,0.0,1.0,1.0,4.0,4.0,1.0,2.0,2.0,2.0,15500.0,3.0,6.0,2.0,1.0,0
52.0,14.0,5.0,1.0,1.0,0.0,1.0,1.0,4.0,1.0,1.0,2.0,2.0,2.0,24000.0,6.0,6.0,0.0,1.0,1
43.0,19.0,1.0,1.0,2.0,0.0,5.0,1.0,4.0,1.0,2.0,2.0,2.0,2.0,22000.0,1.0,6.0,0.0,1.0,0
19.0,16.0,5.0,2.0,2.0,0.0,1.0,1.0,4.0,1.0,1.0,2.0,2.0,2.0,0.0,6.0,6.0,2.0,1.0,1
20.0,19.0,5.0,2.0,2.0,0.0,1.0,1.0,4.0,2.0,1.0,2.0,2.0,2.0,0.0,6.0,6.0,2.0,1.0,0
20.0,18.0,5.0,1.0,2.0,0.0,1.0,1.0,4.0,1.0,1.0,2.0,2.0,2.0,20000.0,1.0,6.0,0.0,1.0,0
61.0,20.0,5.0,2.0,2.0,0.0,5.0,1.0,4.0,1.0,2.0,2.0,2.0,2.0,29500.0,1.0,6.0,0.0,1.0,0
53.0,16.0,5.0,1.0,2.0,0.0,1.0,3.0,4.0,4.0,1.0,2.0,2.0,2.0,0.0,3.0,6.0,0.0,1.0,1
37.0,16.0,1.0,2.0,2.0,0.0,5.0,1.0,4.0,1.0,2.0,2.0,2.0,2.0,19000.0,1.0,6.0,2.0,1.0,1
24.0,19.0,1.0,1.0,2.0,0.0,1.0,1.0,4.0,1.0,1.0,2.0,2.0,2.0,29000.0,1.0,6.0,0.0,1.0,0
16.0,12.0,5.0,1.0,2.0,2.0,1.0,1.0,0.0,4.0,1.0,2.0,2.0,2.0,0.0,6.0,6.0,0.0,1.0,0
30.0,21.0,1.0,2.0,2.0,0.0,1.0,1.0,4.0,2.0,1.0,2.0,2.0,2.0,800.0,6.0,6.0,1.0,1.0,0
21.0,20.0,5.0,2.0,2.0,0.0,1.0,1.0,4.0,1.0,1.0,2.0,2.0,2.0,30000.0,1.0,6.0,2.0,1.0,0
47.0,15.0,1.0,2.0,2.0,0.0,1.0,1.0,4.0,1.0,1.0,2.0,2.0,2.0,0.0,6.0,6.0,2.0,1.0,1
44.0,17.0,5.0,2.0,2.0,0.0,1.0,2.0,4.0,2.0,1.0,2.0,2.0,2.0,24000.0,1.0,6.0,2.0,1.0,0
22.0,18.0,5.0,1.0,2.0,0.0,1.0,3.0,4.0,2.0,1.0,2.0,2.0,2.0,20000.0,1.0,6.0,0.0,1.0,1
62.0,14.0,1.0,2.0,1.0,0.0,1.0,1.0,4.0,1.0,1.0,1.0,2.0,1.0,5700.0,6.0,6.0,0.0,1.0,0
27.0,22.0,5.0,2.0,2.0,0.0,1.0,3.0,4.0,1.0,1.0,2.0,2.0,2.0,0.0,6.0,6.0,2.0,2.0,0
15.0,12.0,5.0,2.0,2.0,3.0,1.0,1.0,0.0,1.0,1.0,2.0,2.0,2.0,0.0,0.0,6.0,2.0,1.0,0
18.0,18.0,5.0,2.0,2.0,0.0,1.0,1.0,4.0,4.0,1.0,2.0,2.0,2.0,12000.0,1.0,6.0,2.0,1.0,0
27.0,17.0,5.0,1.0,2.0,0.0,1.0,3.0,4.0,1.0,1.0,2.0,2.0,2.0,10000.0,6.0,6.0,0.0,2.0,0
26.0,19.0,5.0,2.0,2.0,0.0,1.0,1.0,4.0,1.0,1.0,2.0,2.0,2.0,12000.0,1.0,6.0,2.0,1.0,0
19.0,19.0,5.0,1.0,2.0,0.0,1.0,1.0,4.0,4.0,1.0,2.0,2.0,2.0,0.0,6.0,6.0,0.0,1.0,1
23.0,19.0,5.0,2.0,2.0,0.0,1.0,1.0,4.0,2.0,1.0,2.0,2.0,2.0,0.0,6.0,6.0,2.0,1.0,1
21.0,16.0,5.0,2.0,2.0,0.0,1.0,1.0,4.0,2.0,1.0,2.0,2.0,2.0,8000.0,1.0,6.0,2.0,1.0,0
21.0,16.0,5.0,2.0,2.0,0.0,1.0,3.0,4.0,1.0,1.0,2.0,2.0,2.0,19800.0,1.0,6.0,2.0,2.0,0
51.0,14.0,3.0,1.0,2.0,0.0,1.0,1.0,4.0,1.0,1.0,2.0,2.0,2.0,0.0,6.0,6.0,0.0,1.0,0
23.0,19.0,1.0,1.0,2.0,0.0,4.0,1.0,4.0,4.0,2.0,2.0,2.0,2.0,28000.0,1.0,6.0,0.0,1.0,0
41.0,11.0,1.0,1.0,2.0,0.0,1.0,1.0,4.0,4.0,1.0,2.0,2.0,2.0,7000.0,1.0,6.0,0.0,1.0,0
17.0,14.0,5.0,1.0,2.0,1.0,1.0,1.0,4.0,1.0,1.0,2.0,2.0,2.0,0.0,6.0,6.0,0.0,1.0,0
54.0,15.0,1.0,2.0,2.0,0.0,4.0,1.0,4.0,1.0,2.0,2.0,2.0,2.0,24000.0,1.0,6.0,0.0,1.0,0
33.0,19.0,3.0,1.0,2.0,0.0,1.0,1.0,4.0,1.0,1.0,2.0,2.0,2.0,0.0,6.0,6.0,0.0,2.0,0
39.0,16.0,1.0,2.0,2.0,0.0,1.0,1.0,3.0,4.0,1.0,2.0,2.0,2.0,0.0,6.0,6.0,2.0,1.0,0
34.0,16.0,5.0,1.0,1.0,0.0,1.0,3.0,4.0,4.0,1.0,2.0,2.0,2.0,30000.0,6.0,6.0,0.0,1.0,1
62.0,19.0,1.0,2.0,2.0,0.0,1.0,1.0,4.0,4.0,1.0,2.0,2.0,2.0,0.0,6.0,6.0,0.0,1.0,0
54.0,19.0,5.0,1.0,2.0,0.0,1.0,1.0,4.0,2.0,1.0,2.0,2.0,2.0,19700.0,1.0,6.0,0.0,1.0,0
15.0,12.0,5.0,2.0,2.0,0.0,1.0,1.0,0.0,1.0,1.0,2.0,2.0,2.0,0.0,0.0,6.0,2.0,2.0,1
48.0,1.0,1.0,1.0,2.0,0.0,5.0,1.0,4.0,1.0,2.0,2.0,2.0,2.0,24000.0,1.0,6.0,0.0,1.0,0
38.0,14.0,5.0,1.0,2.0,0.0,1.0,3.0,4.0,1.0,1.0,2.0,2.0,2.0,21000.0,1.0,6.0,0.0,1.0,0
55.0,21.0,5.0,2.0,1.0,0.0,1.0,3.0,4.0,2.0,1.0,2.0,2.0,1.0,16500.0,6.0,6.0,0.0,1.0,1
53.0,19.0,1.0,2.0,2.0,0.0,1.0,1.0,4.0,3.0,1.0,2.0,2.0,2.0,0.0,6.0,6.0,0.0,1.0,0
27.0,19.0,5.0,2.0,2.0,0.0,1.0,1.0,4.0,1.0,1.0,2.0,2.0,2.0,6500.0,1.0,6.0,2.0,2.0,1
24.0,16.0,5.0,2.0,2.0,0.0,1.0,1.0,4.0,2.0,1.0,2.0,2.0,2.0,0.0,3.0,6.0,2.0,1.0,0
37.0,19.0,3.0,2.0,2.0,0.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,0.0,6.0,6.0,2.0,1.0,1
57.0,17.0,5.0,1.0,1.0,0.0,1.0,3.0,4.0,1.0,1.0,2.0,2.0,2.0,10500.0,6.0,6.0,0.0,1.0,1
